id,prn,password,full_name,role,course,year,class_incharge,class_code,contact_number,email,profile_pic,created_at
1,12345,pass123,"Prof. Sharma",professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 21:42:15"
2,67890,pass123,"Student One",student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 21:42:15"
3,1234567890,$2b$10$cDRt0H7iGMO2AenJTtFNJOE9H6mAsKTI3u1CGGJTfICuiIdNoTpQe,Test,student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 21:43:11"
5,0987654321,$2b$10$U5huCSa/AZ0Jzn3UVEdog.aGvZ0.MrBBn3Dcz8CrK1n1FdtTv76Ri,prof.sk,professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 21:50:19"
10,5678901234,$2b$10$nkUYGmIfWAfAOOT66xUFjOs7X.HTCILXZMMnphNW.qg720JMFTWRC,test,student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 22:32:35"
14,testtt,$2b$10$g/VfJsccXco9mPnKchf98eJ7kw09mocApX3ZJENdH3dIU4XFIxL5K,testtt,student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-20 22:49:41"
23,prof_sharma,dummy,"Prof. Sharma",professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-21 13:34:22"
24,council_1,dummy,"Student Council",student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-21 13:34:22"
25,user1,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Prof. User 1",professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-21 13:43:55"
26,user2,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Prof. User 2",professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-21 13:43:55"
27,user3,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Prof. User 3",professor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-21 13:43:55"
28,user4,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 4",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
29,user5,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 5",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
30,user6,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 6",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
31,user7,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 7",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
32,user8,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 8",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
33,user9,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 9",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
34,user10,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 10",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
35,user11,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 11",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
36,user12,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 12",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
37,user13,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 13",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
38,user14,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 14",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
39,user15,$2b$10$OCBWXCNvVZNj/BJzVJvWKOh2Bm0dvUOruCznQcCEbcA/PqPZrT34C,"Student User 15",student,NULL,NULL,NULL,CS-101,NULL,NULL,NULL,"2026-03-21 13:43:55"
44,TEST001,$2b$10$fKOqU/ZXD2BfXnrOosQekeQ4q6Hn9OqidNM9edwjUasNkAYRTD45m,"Test User",student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-22 19:18:23"
45,VERIFY01,$2b$10$ryIPjoV6.SHBUBCYVDFOYOYf1Wz7IZLs4jGZqTS0m7Xcf93fEpWKe,"Verify User",student,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-22 19:23:10"
